Number_on_img,Img_name,X,Y,Width,High,Mean_brightness,Img_std,Wc_coef_level,Fractal_dim_level_min,Fractal_dim_level_max,Eigenvalue_of_matrix_level,Fractal_dim,Eigenvalue_of_matrix,Answer
1,1.jpg,1,1,5,5,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,3.7541236002436,260.498170433654,0
2,1.jpg,173,1,3,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.24098026605295,6.09908819800646,0
3,1.jpg,349,1,3,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.60386786973663,10.967111163741,0
4,1.jpg,680,1,5,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.39475002320269,38.0458431667182,0
5,1.jpg,697,1,6,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.39585736000236,42.7516226251835,0
6,1.jpg,710,1,5,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.399921057062,61.9353225154224,0
7,1.jpg,736,1,14,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.31080687282607,318.173623779367,0
8,1.jpg,1209,1,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.18714975876816,8.91822297687912,0
9,1.jpg,1733,1,7,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.47879365560996,48.9182954300654,0
10,1.jpg,1742,1,4,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.29432067062897,33.8636215598246,0
11,1.jpg,1770,1,10,6,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.37379746110379,198.120107356302,0
12,1.jpg,1812,1,5,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.39389451008991,25.0784435599076,0
13,1.jpg,1978,1,7,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.44073811021779,46.3828736433434,0
14,1.jpg,2250,1,3,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.55312696434285,4.61443494101277,0
15,1.jpg,2537,1,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.18352583210918,11.0101901527167,0
16,1.jpg,3069,1,4,5,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,3.23083195860112,85.1017398741713,0
17,1.jpg,1004,3,3,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.56491952477019,7.8073292222576,0
18,1.jpg,1058,3,3,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.56407172837701,12.1163583331638,0
19,1.jpg,971,6,6,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.35953182907036,27.5333773381149,0
20,1.jpg,1,8,4,4,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.28867406818121,17.0017996382047,0
21,1.jpg,1813,8,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.17696652246312,14.4226216494747,0
22,1.jpg,1091,11,3,3,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.23810513839164,13.9397828605602,0
23,1.jpg,1787,12,7,6,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.37450874970806,116.634798639171,0
24,1.jpg,745,13,9,10,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.32657015689443,180.123753800019,0
25,1.jpg,1776,15,6,6,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.31048656564264,68.8866497249341,0
26,1.jpg,1988,16,2,2,0.528364852208771,0.27381574051421,10,2.43,3.3,1100,2.16799244890164,8.41065963661122,0
